ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
992016-992017,840461.9501,829673.0274,22.406350333,114.217606012
992017-992018,840476.4708,829659.2832,22.40622618,114.217747
992018-991007,840490.1867,829644.7296,22.40609472,114.21788017
992019-992020,839979.073,828963.5006,22.399944066,114.212914658
992020-992021,839965.8628,828948.4844,22.399808491,114.212786332
992021-991008,839952.6525,828933.4681,22.399672914,114.212658005
992022-992023,839635.9058,828178.9927,22.392860271,114.209580314
992023-992024,839636.6871,828159.0091,22.392679807,114.209587859
992024-991009,839637.9304,828139.0579,22.392499635,114.20959989
992025-992026,839723.5084,827871.7399,22.390085446,114.210430361
992026-992027,839731.8412,827853.5584,22.389921241,114.210511241
992027-991010,839740.3615,827835.4641,22.389757822,114.21059394
992028-992029,839798.2317,827684.3824,22.388393359,114.211155574
992029-992030,839801.9379,827664.7404,22.388215973,114.21119152
992030-991011,839804.9982,827644.9759,22.388037484,114.211221194
992031-993002,839798.8439,827487.5595,22.386615945,114.211161083
992032-992033,839709.4994,826766.7684,22.380107007,114.210291935
992033-991012,839711.674,826746.8869,22.379927462,114.210313008
992034-992035,839779.4593,826572.6209,22.378353611,114.210970831
992035-992036,839779.4593,826572.6209,22.378353611,114.210970831
992036-991013,839793.3495,826558.2313,22.378223636,114.211105673
992037-993003,840012.1268,826325.7997,22.376124192,114.213229464
992038-992039,839047.9111,822372.7431,22.34042775,114.203860142
992039-991014,839039.1334,822354.7851,22.340265594,114.203774902
992040-992041,839123.5445,829224.8903,22.402306187,114.20460662
992041-991015,839111.0813,829209.2483,22.402164952,114.204485553
992042-992043,838816.9719,828731.3422,22.397849682,114.201628484
992043-992044,838806.7973,828714.1237,22.397694206,114.201529646
992044-991016,838796.4868,828696.9862,22.397539461,114.20142949
992045-992046,838631.6616,828421.4301,22.395051285,114.1998284
992046-992047,838621.8752,828403.9884,22.394893791,114.199733336
992047-991017,838612.2601,828386.4564,22.394735481,114.199639936
992048-993005,838574.5968,828292.4425,22.393886539,114.199274045
992049-992050,837953.2086,827726.0877,22.388772788,114.193239063
992050-991018,837938.7638,827712.2549,22.388647885,114.193098779
992051-992052,837617.5422,827331.1935,22.385206986,114.189979147
992052-992053,837606.0718,827314.8096,22.38505904,114.18986775
992053-991019,837594.6015,827298.4258,22.384911095,114.189756354
992054-993006,837418.8699,827055.2264,22.382715004,114.188049735
992055-992056,837274.0175,826851.7385,22.380877493,114.186643038
992056-991020,837263.76,826834.5752,22.380722506,114.186543424
992057-993007,837237.9165,826786.9484,22.380292425,114.186292449
992058-992059,838519.6815,828052.7404,22.391721979,114.198740416
992059-991021,838517.5981,828032.8572,22.391542426,114.198720156
992060-992061,838811.9864,827196.9584,22.383993415,114.201577616
992061-992062,838806.9281,827177.6087,22.383818685,114.201528467
992062-991022,838801.8698,827158.2589,22.383643953,114.201479318
992063-992064,838734.9603,826894.7221,22.381264176,114.20082919
992064-992065,838729.0773,826875.6069,22.381091564,114.200772036
992065-991023,838722.7843,826856.6227,22.380920136,114.2007109
992066-993011,838342.1431,826187.3609,22.374876851,114.197013915
992067-992068,838073.5864,826098.9424,22.374078689,114.19440618
992068-991024,838054.3346,826093.5234,22.374029773,114.194219243
992069-992095,837502.1187,825702.8392,22.370502172,114.188857061
992070-992071,838259.2138,826675.422,22.3792844,114.196209297
992071-991025,838242.7559,826686.7859,22.379387041,114.196049503
992072-993009,837825.3492,827049.691,22.382664695,114.191996787
992073-992074,837675.7141,827186.5961,22.383901149,114.190543899
992074-991026,837659.7936,827198.7015,22.384010481,114.190389315
992075-993006,837418.8699,827055.2264,22.382715004,114.188049735
992076-992077,839431.7223,826805.2018,22.380454616,114.207594748
992077-991027,839415.3356,826793.7356,22.3803511,114.207435607
992078-993010,839027.9925,826533.9414,22.378005689,114.203673983
992079-992081,838964.8577,826503.6851,22.377732559,114.203060891
992080-992082,838962.0515,826511.3344,22.377801641,114.203033655
992081-991028,838945.8334,826497.5147,22.377676867,114.202876154
992082-991029,838942.7616,826506.0542,22.377753988,114.202846341
992083-992070,838276.0978,826664.7014,22.379187567,114.196373229
992084-993011,838342.1431,826187.3609,22.374876851,114.197013915
992085-991030,836656.6604,825230.9441,22.366241106,114.180647961
992086-992087,836662.3902,825270.5251,22.366598543,114.180703603
992087-993012,836464.5067,825769.519,22.371104761,114.178782368
992088-992089,836220.8845,825627.0439,22.369818146,114.17641691
992089-991031,836206.7041,825612.9401,22.369690781,114.176279226
992090-993013,835731.7104,825360.6228,22.367412138,114.171667382
992091-992092,837348.8255,826327.0367,22.376139113,114.187369084
992092-991032,837348.8255,826327.0367,22.376139113,114.187369084
992093-992094,837506.4532,825697.3475,22.370452576,114.188899143
992094-992096,837506.4532,825697.3475,22.370452576,114.188899143
992095-992097,837488.4721,825688.2251,22.370370209,114.188724548
992096-991033,837474.4798,825673.9347,22.370241169,114.188588679
992097-991033,837474.4798,825673.9347,22.370241169,114.188588679
992098-992099,837229.949,825325.0967,22.367091128,114.186214199
992099-992100,837229.949,825325.0967,22.367091128,114.186214199
992100-991034,837214.8505,825311.9805,22.36697269,114.186067595
992101-992102,836864.8479,825096.5262,22.365027179,114.182669247
992102-992103,836847.0874,825087.3325,22.364944161,114.182496805
992103-991035,836829.4388,825077.9264,22.364859225,114.182325449
992104-992085,836656.0799,825210.9778,22.3660608,114.18064232
