ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
991038-992114,835900.1843,824326.9328,22.358077396,114.17330338
991040-992119,836391.9839,826415.0704,22.376934442,114.178078256
991041-992122,836062.4749,825884.5289,22.372143363,114.174878806
991042-992125,835690.2532,825325.825,22.367097881,114.171264874
991044-992130,836277.2082,826776.0309,22.380194111,114.176963792
991045-992133,835424.401,826885.7949,22.381185132,114.168682823
991046-992136,835265.3781,826845.1303,22.380817825,114.167138697
991048-992139,823591.6094,836073.4027,22.464106854,114.053710453
991049-992144,823185.5732,834931.4385,22.453791382,114.049774809
991050-992145,823176.8556,834937.502,22.453846071,114.049690065
991051-992148,823142.5967,834110.2602,22.446375463,114.049364059
991052-992151,823678.326,833427.3258,22.440212294,114.054573944
991053-992154,824251.1477,832940.7513,22.435822428,114.060142198
991054-992157,824679.3904,831538.9385,22.423166375,114.064312363
991055-992160,824477.5608,830423.9415,22.413096055,114.062360216
991056-992163,825177.4052,826130.7426,22.374331013,114.069187264
991057-992166,822969.5934,834398.4122,22.448976263,114.047680965
991058-992169,822177.0044,834112.8398,22.446391077,114.039983545
991059-992172,821747.3574,832993.3182,22.436277722,114.035819849
991060-992175,820906.7252,832776.8246,22.434315353,114.027656
991061-992178,819759.5232,833094.2347,22.437171024,114.016508896
991062-992181,818886.8447,833053.8075,22.436797309,114.008032053
991063-992184,818300.1592,832427.9648,22.431139626,114.002340015
991064-992187,817587.5165,831555.5985,22.423254157,113.995427874
991065-992190,816688.3112,830696.8154,22.41548893,113.986704344
991066-992193,815971.785,830346.7926,22.412319734,113.979749489
991067-992196,815710.3657,829102.0231,22.4010758,113.977226548
991068-992199,815651.5824,828415.6289,22.394876645,113.976664544
991069-992202,815782.9817,827913.5771,22.390344462,113.977947029
991070-992205,816142.8485,827019.3178,22.382273142,113.981452911
991071-992208,817132.5081,826244.798,22.375290177,113.991072057
991072-992211,817870.0399,825971.1214,22.372826805,113.998236489
991073-992214,818750.5469,825367.6548,22.367386411,114.006792499
991074-992217,819521.6882,825022.2898,22.364275282,114.014283323
991075-992220,820021.1594,824374.3167,22.358428549,114.019139296
991076-992223,820857.4986,824107.2881,22.356024846,114.027261582
991077-992226,822037.0877,824797.7236,22.362270013,114.038707444
991078-992229,823601.492,825304.6311,22.366859898,114.053892088
991079-992232,824838.8395,825275.2169,22.366602951,114.065905996
991080-992235,825808.2281,825842.5116,22.371732096,114.075314289
991081-992238,826812.6184,825618.2371,22.369712603,114.085067823
991082-992241,827721.6418,825681.8456,22.370291784,114.093893592
991084-992246,815811.2071,828287.6577,22.393722918,113.978216323
991085-992248,816102.5847,827379.6708,22.385526826,113.981057386
991086-992252,816250.8576,826554.3791,22.378075789,113.982507539
991087-992254,817307.7258,826004.5057,22.373122165,113.992776237
991088-992258,818090.5262,825405.4161,22.367720555,114.000383766
991089-992261,819074.9106,825257.5773,22.366395633,114.009943012
991090-992264,820117.5495,824203.7475,22.35688913,114.020076835
991091-992267,821377.4565,824145.0369,22.356370321,114.032309227
991092-992270,822389.62,824619.8427,22.360666539,114.042131692
991093-992273,823970.7807,825184.2859,22.365775802,114.057478524
991094-992276,824263.7921,825402.5438,22.367748857,114.060321779
991095-992279,825218.0823,825053.8183,22.364606086,114.069589678
991096-992282,826300.3737,825714.7569,22.370581331,114.080093612
991097-992285,827332.0744,825377.9029,22.367545039,114.090112795
992001-992002,839383.2297,831945.6056,22.426875119,114.207133936
992002-992003,839747.8294,831690.1189,22.42456725,114.210674887
992003-991002,839764.0805,831678.4641,22.424461969,114.210832713
992004-992005,839795.1736,831653.3068,22.424234722,114.211134672
992005-992006,840049.3542,830876.239,22.417216884,114.213601742
992006-991003,840045.5985,830856.5948,22.417039496,114.213565217
992007-993001,840041.9818,830836.9245,22.416861871,114.213530042
992008-992009,839660.6231,829661.7624,22.40625038,114.209823504
992009-991004,839643.6913,829651.1238,22.406154341,114.20965904
992010-992011,839609.108,829631.0478,22.405973113,114.209323126
992011-992012,839438.147,829524.2363,22.405008877,114.207662545
992012-991005,839421.952,829512.5007,22.404902928,114.207505238
992013-992040,839389.8365,829488.6599,22.404687693,114.207193289
992014-992015,840041.7893,830047.5475,22.409733412,114.2135263
992015-991006,840056.0118,830033.497,22.409606497,114.213664399
992016-992017,840085.3499,830006.3124,22.409360942,114.213949272
992017-992018,840461.9501,829673.0274,22.406350333,114.217606012
992018-991007,840476.4708,829659.2832,22.40622618,114.217747
992019-992020,840502.6709,829629.1446,22.405953949,114.218001375
992020-992021,839979.073,828963.5006,22.399944066,114.212914658
992021-991008,839965.8628,828948.4844,22.399808491,114.212786332
992022-992023,839939.9847,828917.9914,22.399533179,114.212534945
992023-992024,839635.9058,828178.9927,22.392860271,114.209580314
992024-991009,839636.6871,828159.0091,22.392679807,114.209587859
992025-992026,839639.9199,828119.1577,22.392319922,114.209619168
992026-992027,839723.5084,827871.7399,22.390085446,114.210430361
992027-991010,839731.8412,827853.5584,22.389921241,114.210511241
992028-992029,839748.5206,827817.2041,22.389592909,114.210673132
992029-992030,839798.2317,827684.3824,22.388393359,114.211155574
992030-991011,839801.9379,827664.7404,22.388215973,114.21119152
992031-993002,839806.8037,827625.0576,22.387857607,114.211238683
992032-992033,839708.1148,826786.7178,22.380287163,114.210278534
992033-991012,839709.4994,826766.7684,22.380107007,114.210291935
992034-992035,839714.466,826727.0828,22.379748615,114.210340076
992035-992036,839793.3495,826558.2313,22.378223636,114.211105673
992036-991013,839807.1027,826543.7115,22.378092487,114.211239185
992037-993003,839821.5224,826529.8525,22.377967303,114.21137917
992038-992039,839057.338,822390.3803,22.340587009,114.203951683
992039-991014,839047.9111,822372.7431,22.34042775,114.203860142
992040-992041,839136.072,829240.4802,22.40244695,114.204728311
992041-991015,839123.5445,829224.8903,22.402306187,114.20460662
992042-992043,839098.9246,829193.3671,22.402021557,114.204367462
992043-992044,838816.9719,828731.3422,22.397849682,114.201628484
992044-991016,838806.7973,828714.1237,22.397694206,114.201529646
992045-992046,838785.95,828679.9869,22.397385964,114.201327136
992046-992047,838631.6616,828421.4301,22.395051285,114.1998284
992047-991017,838621.8752,828403.9884,22.394893791,114.199733336
